U_gain	E_gain	24c	24f	48c	48f	72c	72f
-0.00044595748059630583	0.1822744576467176	0	0.125	0	0.40625	0.34375	0.125
-0.0003493904446955064	0.18677961023687636	0	0.25	0	0.28125	0.375	0.09375
-0.00048682826008439046	0.17861502078834268	0	0.15625	0	0.375	0.34375	0.125
0.002229581429202632	0.14118298750695735	0	0.0625	0	0.59375	0.34375	0
0.0012576395039111525	0.18644807333431038	0	0.28125	0	0.28125	0.40625	0.03125
0.0016019483019831609	0.20193021340687678	0	0.21875	0	0.34375	0.40625	0.03125
0.005489873448274169	0.2393275917255317	0	0.40625	0	0.3125	0.28125	0
0.0031470560002327366	0.18925023719780243	0	0.25	0	0.40625	0.34375	0
0.00208426639730886	0.17410110787805275	0	0.25	0.03125	0.34375	0.34375	0.03125
0.00039307990410932545	0.1661471414541717	0	0.125	0	0.46875	0.40625	0
-0.0002526013512802585	0.2038219642094018	0	0.25	0	0.3125	0.375	0.0625
0.03451259924410248	0.20298603805789472	0	0.25	0	0.375	0.375	0
0.14265945273067893	0.23819938164698576	0	0.28125	0	0.3125	0.40625	0
-0.00042739826152460606	0.153889224561887	0	0.0625	0	0.5	0.375	0.0625
-0.0005384855144536913	0.17141092543454567	0	0.125	0	0.46875	0.34375	0.0625
-6.653799214160053e-05	0.15017985024534133	0	0.1875	0	0.4375	0.34375	0.03125
0.0003951507374619081	0.199509392409308	0	0.21875	0	0.40625	0.34375	0.03125
0.0007515282576648005	0.15989818739292375	0	0.125	0	0.4375	0.375	0.0625
0.0586500068918603	0.24191559413882982	0	0.3125	0	0.21875	0.4375	0.03125
-0.00035512655050773146	0.13653327861960146	0	0.03125	0	0.46875	0.375	0.125
0.007540714817118453	0.23899741946956016	0	0.3125	0	0.34375	0.34375	0
-0.0004505878072219768	0.13582650462666135	0	0.03125	0	0.5	0.375	0.09375
-0.0003632809239309436	0.2118472270941613	0	0.25	0	0.3125	0.375	0.0625
-0.0005706019898643065	0.16174305631978422	0	0.15625	0	0.28125	0.4375	0.125
0.00032180718913925533	0.18453618457350127	0	0.15625	0	0.375	0.40625	0.0625
-0.0003381978939233493	0.14174021334924453	0	0.15625	0	0.375	0.4375	0.03125
0.0003297343127560588	0.13141118738985907	0	0.09375	0	0.5	0.34375	0.0625
0.03540601203560005	0.21286094745372197	0	0.34375	0	0.28125	0.375	0
0.00031275661088391623	0.17120937921908877	0	0.15625	0	0.375	0.40625	0.0625
0.0008106947866346403	0.1679529397061413	0	0.15625	0	0.28125	0.4375	0.125
0.0005837931077877792	0.139567259700664	0	0.03125	0	0.59375	0.3125	0.0625
-0.00047460955978947635	0.18617494443475255	0	0.15625	0	0.40625	0.40625	0.03125
0.0038411551727347386	0.20232830294058515	0	0.25	0	0.34375	0.375	0.03125
0.0027728215449276897	0.21493949433329088	0	0.25	0	0.375	0.3125	0.0625
-0.00035352566320402017	0.14067313084565716	0	0.0625	0	0.5	0.375	0.0625
0.006697573986338558	0.18773559762982206	0	0.1875	0	0.34375	0.46875	0
0.010421294772388158	0.1948018488098237	0	0.25	0	0.34375	0.40625	0
0.16512941974205392	0.25019885238233347	0	0.1875	0	0.375	0.40625	0.03125
0.0005532578020189195	0.16466596599505914	0	0.15625	0	0.46875	0.375	0
0.0005099457686866707	0.2744005840097145	0	0.3125	0	0.34375	0.3125	0.03125
0.0009633127286149652	0.18449597313720872	0	0.21875	0	0.3125	0.375	0.09375
0.006531047337736077	0.20841435156056046	0	0.375	0	0.3125	0.3125	0
-0.0003054091279415028	0.21535123297465925	0	0.125	0	0.3125	0.46875	0.09375
0.026939682126759283	0.24655293457180585	0	0.3125	0	0.4375	0.25	0
0.0018759797690822947	0.20858187986533566	0	0.21875	0	0.46875	0.3125	0
0.00017497805131227166	0.15277898103327192	0	0.0625	0	0.4375	0.34375	0.15625
0.09835728470113388	0.23910583915077344	0	0.34375	0	0.34375	0.3125	0
0.0063796151543784605	0.19491801142944135	0	0.25	0.03125	0.3125	0.40625	0
0.001301103051458609	0.1784278937653207	0	0.21875	0	0.34375	0.375	0.0625
0.0588734532335057	0.21615450435720404	0	0.375	0	0.28125	0.34375	0
0.13782780856691612	0.30130177122866486	0	0.375	0	0.28125	0.34375	0
0.0070547010950443275	0.22948550825795863	0	0.34375	0	0.3125	0.34375	0
0.006755619313607829	0.21424797637890045	0	0.34375	0	0.34375	0.28125	0.03125
-0.0001991774479666027	0.17389842889931098	0	0.15625	0	0.4375	0.34375	0.0625
0.00015614908175764973	0.21839530241583122	0	0.15625	0	0.25	0.46875	0.125
0.00041527683527521506	0.20805984112751344	0	0.15625	0.03125	0.46875	0.3125	0.03125
0.0006492942013182934	0.1652161171376484	0	0.25	0	0.3125	0.34375	0.09375
0.0038612446706852636	0.16190187003325765	0	0.21875	0	0.375	0.40625	0
6.0354413025418e-05	0.15651131957179373	0	0.0625	0	0.46875	0.40625	0.0625
0.00027318592041072497	0.18020769205799878	0	0.125	0	0.53125	0.3125	0.03125
-0.0002738363572506127	0.14607975103688045	0	0.03125	0	0.3125	0.40625	0.25
0.07023341092245992	0.1981143173556619	0	0.1875	0.0625	0.3125	0.4375	0
0.0033511922778976157	0.1701527072671757	0	0.15625	0	0.4375	0.34375	0.0625
-0.00045186885835651083	0.22888048488991988	0	0.1875	0.0625	0.25	0.4375	0.0625
0.0026155211336201874	0.18106614888764397	0	0.1875	0	0.375	0.375	0.0625
0.001050700549073223	0.22196585032421232	0	0.25	0.03125	0.3125	0.40625	0
