U_gain	E_gain	16_RANGE2c	16_RANGE2f	26_RANGE2c	26_RANGE2f	16c	16f	26c	26f	30c	30f	60c	60f	90c	90f	120c	120f	150c	150f	170c	170f	150_BOOSTc	150_BOOSTf	170_BOOSTc	170_BOOSTf
-0.0009190031913669825	0.23410817222369323	0	0	0	0.171875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.203125	0.15625	0.421875	0	0	0	0
-0.0007508257653725465	0.2005028622105565	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.109375	0.140625	0.46875	0	0	0	0
-0.001334907674747527	0.1446282144800345	0	0	0	0.15625	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.078125	0.171875	0.203125	0.375	0	0	0	0
-0.0006492991973326774	0.26933961164666226	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.078125	0.078125	0.15625	0.421875	0	0	0	0
-0.0007057709023962335	0.15241074667100332	0	0	0	0.15625	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.15625	0.203125	0.46875	0	0	0	0
-0.001061935258419536	0.2916397555397496	0	0	0	0.28125	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.140625	0.171875	0.359375	0	0	0	0
-0.001045563487810552	0.21389830400339294	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.109375	0.171875	0.46875	0	0	0	0
-0.000656881818237433	0.37663916353158733	0	0	0	0.328125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.15625	0.1875	0.28125	0	0	0	0
-0.001519505748880017	0.43390045284351786	0	0	0	0.28125	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.09375	0.15625	0.421875	0	0	0	0
-0.0010491411951610058	0.19547138009946569	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0625	0.0625	0.203125	0.453125	0	0	0	0
-0.00020118793849673627	0.3440735779596739	0	0	0	0.359375	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.125	0.15625	0.296875	0	0	0	0
-0.0012471580459036723	0.192865393373043	0	0	0	0.171875	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.078125	0.15625	0.140625	0.421875	0	0	0	0
-0.00045859597587289146	0.26424385441364223	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.078125	0.078125	0.15625	0.421875	0	0	0	0
-0.0012285773285130317	0.2096061740664127	0	0	0	0.296875	0	0	0	0	0	0	0	0	0	0	0	0	0.078125	0.078125	0.1875	0.359375	0	0	0	0
-0.0011464584932920439	0.22426149678582558	0	0	0	0.296875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0625	0.09375	0.15625	0.375	0	0	0	0
-0.0009464216962260275	0.19820648035166955	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.234375	0.171875	0.375	0	0	0	0
